CoverPapers_2017_May_1_1_QP.pdf,Q1,Q2,Q3,Q4,Q5,Q6,Q7
NUMBER REPRESENTATION,,,,Y,,,
IMAGES,,,Y,,,Y,
SOUND,,,Y,,,,
VIDEO,,,,,,Y,
COMPRESSION TECHNIQUES,,,,,,,
NETWORKS,,,,,,,
IP ADDRESSING,,,,,,,Y
CLIENT AND SERVER-SIDE SCRIPTING,,,,,,,Y
"INPUT, OUTPUT AND STORAGE DEVICES",,Y,Y,,,Y,
MAIN MEMORY,,,,Y,,Y,
LOGIC GATES AND LOGIC CIRCUITS,,,,,,,
CPU ARCHITECTURE,,,,Y,,,
FETCH-DECODE-EXECUTE CYCLE,,,,,,,
THE PROCESSOR'S INSTRUCTION SET,,,,Y,,,
ASSEMBLY LANGUAGE,,,,Y,,,
OPERATING SYSTEM,,,,,,Y,
UTILITY PROGRAMS,,,,,,,
LIBRARY PROGRAMS,,,,,,,
LANGUAGE TRANSLATORS,,,,,,,
DATA SECURITY,,,,,,,
DATA INTEGRITY,,,,,Y,,
ETHICS AND THE COMPUTING PROFESSIONAL,,,,,,,Y
OWNERSHIP OF SOFTWARE AND DATA,,,,,,,
DATABASE MANAGEMENT SYSTEMS (DBMS),Y,,,,,,
RELATIONAL DATABASE MODELLING,Y,,,,,,
DATA DEFINITION LANGUAGE (DDL) AND DATA MANIPULATION LANGUAGE (DML),,,,,,,
